p__d26058,p__c01002,p__a03002,p__d26007,p__age,p__k02006,p__k02007,p__d14002,p__d14004,p__d14005,p__d14008,p__d14011,p__d25040,p__d25041,p__d25042,p__d25045,p__d25047,p__d25048,p__d25049,p__d25052,p__d25053,p__d25056,p__d25057,p__d25058,p__d25060,p__d25062,p__d25064,p__d25065,p__d25066,p__d25070,p__d25072,p__d25073,p__d25076,p__d25077,p__d25080,p__d25081,p__d25082,p__d25083,p__d25085,p__d23003,p__d23005,p__d23006,p__d23007,p__d23008,p__n01038,p__n01041,p__n01042,p__n01043,p__n01047,pid,is_churned
3,7,4,2,6,2,2,0,0,1,1,1,4,4,4,4,5,5,4,4,5,5,4,4,4,5,5,4,5,5,4,4,5,5,4,4,5,5,4,5,5,4,4,4,3,3,4,4,4,490001,0
3,7,4,2,3,3,2,0,0,1,1,1,5,4,4,5,4,4,5,5,5,4,4,4,4,5,5,4,4,5,5,4,5,4,4,5,4,4,4,3,4,4,3,4,4,3,3,3,3,490003,0
3,8,4,1,7,3,3,0,0,1,1,1,3,3,4,4,3,3,4,4,4,4,3,3,2,5,4,4,4,4,4,5,4,4,3,3,3,4,3,3,2,4,3,3,3,3,4,3,3,520001,0
,7,4,3,6,1,2,0,0,1,1,1,4,4,4,4,3,3,4,3,3,3,2,3,3,4,4,5,5,4,4,3,3,3,4,3,2,3,3,4,5,4,5,3,3,3,4,4,3,530003,1
4,8,4,5,4,3,2,0,0,1,1,1,3,3,4,3,4,4,3,3,2,4,3,3,3,4,5,3,4,3,3,2,3,3,3,2,3,3,3,4,5,4,3,4,4,4,4,3,3,540003,1
4,7,4,5,5,3,3,0,0,1,1,1,3,3,2,2,3,3,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,3,3,4,4,3,4,5,4,5,4,4,4,3,3,3,550002,1
1,8,4,5,5,2,2,0,0,1,1,1,4,4,3,3,3,4,4,4,5,4,4,4,4,4,3,3,4,4,5,4,4,4,4,3,3,4,3,5,4,5,4,4,4,4,3,3,4,550003,0
3,6,3,1,5,3,3,0,0,1,1,1,3,3,3,4,3,3,4,4,4,4,3,3,3,4,4,4,4,3,4,3,4,4,3,3,4,4,4,2,2,3,3,3,3,3,4,4,3,560001,0
4,7,4,1,5,3,3,0,0,1,1,1,3,3,4,4,3,3,4,4,4,4,3,3,2,5,5,4,5,4,4,5,5,4,3,3,3,4,4,3,2,3,2,3,3,3,4,3,3,560002,0
4,7,4,2,5,3,3,0,0,1,1,1,4,5,4,4,3,3,4,4,5,4,4,3,3,4,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,5,3,3,2,2,2,3,590001,0
4,8,4,3,3,3,3,0,0,2,1,1,2,2,1,4,3,4,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,3,3,3,4,4,4,3,5,4,4,3,4,4,4,4,4,600005,1
4,6,4,5,4,3,2,0,0,1,1,1,2,4,3,2,3,4,3,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,5,3,3,4,4,4,4,3,3,610001,0
4,9,4,3,5,3,2,0,0,1,1,1,3,3,4,4,3,4,4,3,4,4,4,3,4,4,4,5,5,4,5,4,4,5,5,4,5,4,4,3,4,4,4,4,3,4,3,3,3,630001,0
3,8,4,3,5,3,2,0,0,1,1,1,5,4,4,5,4,4,5,5,4,4,5,5,5,5,5,4,5,4,4,5,5,4,4,5,4,4,4,4,4,4,5,5,3,3,4,4,3,630002,0
,5,4,4,6,2,2,4,1,4,1,1,3,4,4,4,4,4,4,2,1,2,2,3,2,5,5,5,3,4,4,4,2,1,3,2,3,1,2,3,3,3,4,4,2,2,2,2,2,660002,0
3,6,4,4,6,3,2,3,1,1,2,1,3,4,4,4,3,4,4,4,4,3,4,4,3,5,5,5,5,5,5,5,3,1,4,4,4,2,4,4,4,4,4,4,3,4,3,4,3,730002,0
4,5,3,3,7,2,2,0,0,1,1,1,3,4,4,3,4,4,4,3,3,4,4,3,3,5,5,5,5,5,5,4,4,1,4,1,4,1,3,4,4,4,4,4,4,3,3,3,3,750002,1
1,6,4,3,6,4,4,0,0,1,1,1,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,5,4,5,5,5,5,5,5,5,830001,0
1,6,4,4,6,4,4,0,0,1,1,1,5,4,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,830002,0
1,7,4,2,3,3,2,0,0,1,1,1,5,4,5,5,4,4,4,5,5,5,4,4,4,5,4,4,5,5,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,830003,0
3,6,4,1,3,4,3,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,890004,0
1,6,4,1,6,3,2,0,0,1,2,2,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4,900002,0
1,7,4,2,4,3,3,0,0,1,1,1,5,4,5,4,4,5,4,4,5,5,4,4,4,5,4,4,5,5,4,4,4,4,5,5,5,5,5,4,5,4,5,5,5,5,4,4,5,900003,0
4,6,4,1,3,3,3,0,0,1,1,1,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,900004,0
,6,4,3,3,4,4,2,2,2,3,3,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,5,5,5,5,4,4,4,4,4,930004,1
5,6,4,1,4,3,2,4,3,4,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,3,4,4,950004,1
4,6,4,1,6,3,3,4,2,3,1,3,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,3,3,2,3,960001,1
,4,3,3,2,3,2,0,0,1,1,1,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,2,3,3,2,2,2,2,2,2,2,1010003,0
,4,3,4,2,2,2,0,0,1,1,1,4,4,4,4,3,2,4,2,2,3,4,4,4,5,5,5,5,5,5,5,2,1,5,1,5,5,4,4,3,3,4,4,3,3,4,3,3,1010004,0
,6,3,1,5,2,2,3,2,3,2,3,1,4,4,3,4,5,3,5,5,4,4,5,4,5,5,5,5,4,5,4,5,5,5,4,5,5,5,3,3,2,2,3,2,2,3,2,3,1080003,1
,6,4,1,6,2,1,0,0,1,1,1,4,5,5,4,3,4,4,3,4,4,3,3,3,4,4,3,4,4,3,4,3,4,4,4,3,3,4,3,4,4,3,3,3,3,2,3,2,1100002,1
,5,2,1,6,3,2,3,3,3,3,3,2,4,4,5,4,5,4,5,4,4,5,4,4,5,5,5,5,4,5,5,5,4,5,4,4,5,4,3,4,3,4,4,3,2,3,3,3,1120002,1
,6,2,2,3,4,3,3,3,3,3,3,3,4,5,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,3,3,3,4,3,3,4,3,3,1120003,0
,6,3,1,6,3,2,2,1,1,3,3,2,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,3,4,3,4,3,2,2,2,3,3,1160001,1
,6,4,1,3,2,2,4,4,2,4,2,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,4,4,2,3,3,3,3,3,2,2,2,3,1160003,1
4,4,3,3,6,4,2,0,0,1,1,1,3,4,4,4,3,3,3,4,3,2,3,4,3,4,4,4,3,4,4,3,4,3,3,2,3,3,3,4,3,3,3,3,4,3,2,3,3,1170001,1
4,4,4,4,5,4,2,0,0,1,1,1,3,4,3,4,3,4,4,4,3,3,2,3,4,4,4,3,3,4,4,3,4,3,2,3,2,3,3,3,3,3,4,4,3,4,3,3,2,1170002,1
4,8,4,2,3,4,3,3,2,3,4,2,4,5,5,5,4,5,4,5,5,4,4,5,5,5,5,4,4,5,5,5,4,4,4,4,5,5,4,3,4,4,3,3,2,3,4,3,4,1170003,0
,7,4,1,6,2,2,0,0,1,1,1,4,4,4,5,4,5,4,5,5,4,3,4,4,5,5,5,4,3,3,3,4,3,4,4,4,5,4,5,5,4,4,4,3,3,4,4,3,1180002,0
,6,4,2,2,3,2,0,0,1,1,1,4,3,4,4,3,2,2,3,2,4,3,4,3,5,5,5,5,4,2,1,2,3,4,5,5,4,3,4,3,4,4,3,3,3,2,2,2,1180003,0
,7,4,3,4,3,3,2,2,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,1210004,1
,6,4,3,5,3,3,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,3,4,1310001,0
