p__d26058,p__c01002,p__a03002,p__d26007,p__age,p__k02006,p__k02007,p__d14002,p__d14004,p__d14005,p__d14008,p__d14011,p__d25040,p__d25041,p__d25042,p__d25045,p__d25047,p__d25048,p__d25049,p__d25052,p__d25053,p__d25056,p__d25057,p__d25058,p__d25060,p__d25062,p__d25064,p__d25065,p__d25066,p__d25070,p__d25072,p__d25073,p__d25076,p__d25077,p__d25080,p__d25081,p__d25082,p__d25083,p__d25085,p__d23003,p__d23005,p__d23006,p__d23007,p__d23008,p__n01038,p__n01041,p__n01042,p__n01043,p__n01047,pid,is_churned
3,6,4,2,5,3,3,2,2,2,2,3,5,5,5,5,5,5,5,5,5,5,4,3,2,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,5,5,5,5,4,4,4,4,4,1310002,0
,7,4,3,4,3,3,2,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,4,4,4,5,4,1320101,0
,6,4,3,4,4,3,3,3,3,1,1,5,5,5,5,5,5,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,4,4,5,3,4,1320102,0
,5,2,2,5,1,4,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,4,3,3,3,1340001,0
4,8,4,1,5,3,2,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,3,3,2,3,4,1510003,0
3,3,3,2,8,1,1,0,0,1,1,1,4,4,2,3,2,2,2,2,2,2,2,2,2,4,4,4,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,2,1520002,1
4,3,3,1,5,2,1,0,0,1,1,1,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,4,4,3,4,3,3,4,3,3,1520004,0
4,4,3,1,2,2,2,0,0,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,3,2,1520005,0
4,4,3,1,7,2,1,0,0,1,3,1,3,4,3,4,4,4,4,4,4,3,3,2,2,4,4,4,4,4,4,4,3,3,2,2,2,1,2,4,3,3,3,2,4,4,4,3,4,1540002,0
4,8,4,1,4,2,2,0,0,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,3,5,4,4,4,4,3,3,4,1540003,0
3,6,4,1,6,3,1,3,1,1,1,1,5,5,5,5,5,5,5,5,5,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,2,2,2,1,2,1570001,0
4,6,4,1,5,1,1,3,4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,3,3,3,3,3,4,4,3,3,3,3,2,2,3,2,1600001,1
3,4,4,3,7,3,1,3,1,1,1,1,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,4,3,4,3,2,2,1610001,0
3,4,4,1,7,2,1,3,3,3,3,3,4,4,3,3,3,4,4,4,4,3,4,3,2,5,5,5,5,4,3,3,4,4,3,4,3,3,3,3,4,4,3,3,3,2,2,2,3,1610002,0
3,4,3,3,5,2,1,3,2,2,1,1,4,4,5,3,4,4,4,5,5,3,3,3,3,5,5,4,3,4,4,4,5,5,4,5,3,3,3,3,4,3,5,4,3,2,2,3,3,1620001,0
4,6,4,1,5,4,2,4,3,4,3,3,5,5,5,5,5,5,5,5,5,4,3,4,4,5,5,5,5,5,5,5,5,5,4,4,3,3,4,4,4,5,3,3,3,3,2,3,3,1670001,1
4,4,4,1,5,3,1,3,2,3,3,2,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,3,5,4,2,2,2,2,2,1670002,1
1,4,3,3,2,4,2,3,2,3,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,4,5,5,5,5,5,2,1,1,2,1,1670003,1
3,5,4,1,6,3,3,3,2,2,1,2,5,5,5,5,5,4,4,4,4,5,4,3,3,5,5,5,5,5,5,5,4,4,4,4,3,3,3,3,4,4,3,3,2,2,3,3,2,1690001,0
5,5,4,1,5,3,2,3,2,2,1,2,5,5,5,5,5,5,5,5,5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,3,3,2,2,2,1690002,0
3,4,3,1,5,3,1,3,1,2,2,1,5,5,5,4,4,4,4,3,3,4,3,4,3,5,5,5,5,5,5,5,4,4,5,3,3,4,4,3,3,3,4,2,3,3,2,2,3,1700001,0
3,4,3,1,5,3,1,3,2,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,2,4,3,2,3,3,2,2,1700002,0
3,3,3,3,2,4,1,3,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,5,3,5,1,1,1,1,1,1700003,1
4,4,4,3,6,3,1,3,2,3,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,1720001,1
4,4,4,1,6,3,1,3,2,2,1,2,5,5,5,5,5,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,3,3,3,2,3,2,3,1,1720002,1
4,6,4,1,3,3,2,4,3,2,3,2,4,5,5,4,5,5,5,5,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,5,3,4,4,3,3,2,3,1720003,1
4,6,4,1,7,4,4,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,1740001,1
,6,4,1,4,3,3,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,5,4,4,1740003,0
,6,4,1,3,3,3,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,1760004,0
,6,4,1,6,1,1,3,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,1770001,1
,7,4,1,6,1,1,0,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,4,3,3,3,3,1770002,1
,5,2,1,6,2,2,4,3,3,1,1,4,4,5,5,3,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,2,2,2,3,5,5,4,4,4,1800001,1
2,6,2,1,6,2,1,4,4,2,1,2,2,5,5,4,2,4,5,5,5,2,3,3,2,5,5,5,5,5,5,5,5,5,4,2,3,4,4,3,2,4,2,4,4,4,4,4,4,1800002,1
,6,3,1,6,2,2,0,0,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,5,5,5,3,4,4,4,4,1840001,1
,7,4,1,6,2,2,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,3,5,4,4,3,4,4,2,3,1850001,0
,4,3,1,3,4,1,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,4,1850004,0
,4,3,1,3,2,1,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,2,1870003,0
,6,3,2,7,3,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,3,4,4,4,4,4,1880001,0
,6,4,6,6,2,2,1,1,1,1,1,4,3,4,4,3,3,4,3,3,3,4,3,3,4,4,3,4,4,4,3,4,4,3,4,3,3,3,4,4,4,5,4,3,4,3,3,4,1880002,0
,8,4,1,3,3,2,0,0,1,1,1,5,4,4,5,4,4,4,5,4,4,4,4,4,5,5,4,5,4,4,4,4,4,3,3,3,3,3,4,5,4,5,5,4,4,3,3,3,1990003,0
3,6,4,1,3,4,3,0,0,1,4,4,5,5,5,5,5,4,4,4,4,4,4,3,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,5,5,5,4,4,4,5,4,2000005,0
3,8,4,1,5,3,2,0,0,3,3,2,5,5,4,4,5,5,5,3,3,3,4,3,3,5,5,5,5,5,4,5,4,4,4,3,3,3,3,5,5,5,5,5,3,4,3,3,3,2010002,0
3,5,3,1,5,3,2,0,0,1,1,1,4,5,4,4,4,4,4,2,2,2,2,2,2,5,5,5,4,4,4,4,2,2,2,3,2,3,2,5,5,5,5,5,4,4,3,3,3,2030001,0
3,5,3,1,5,2,1,0,0,1,1,1,4,4,3,4,4,4,4,4,4,3,3,3,3,5,5,4,4,4,4,4,4,4,3,3,3,3,3,5,5,5,5,5,4,3,4,3,3,2030002,0
,8,4,1,3,3,3,0,0,1,1,1,5,5,5,5,5,5,4,4,4,4,3,3,3,5,5,4,4,4,4,4,4,4,4,4,3,4,3,5,5,5,5,5,4,4,3,3,3,2070003,0
3,8,4,2,3,3,2,0,0,1,1,1,4,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,3,3,3,2080004,0
,7,4,1,5,3,2,3,2,3,4,2,5,4,5,5,5,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,3,4,3,2,3,2110003,0
,7,4,1,5,2,1,0,0,3,3,3,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,5,5,4,3,3,4,3,2140004,1
,5,3,1,6,2,1,0,0,1,1,1,4,4,4,3,4,4,4,3,3,2,2,2,2,5,5,5,4,4,4,4,3,3,3,2,2,2,2,5,5,5,4,5,4,4,3,4,4,2170001,1
,5,3,5,6,2,2,0,0,1,1,1,3,3,3,4,2,4,4,2,1,1,1,1,1,5,5,4,4,4,4,4,2,2,2,2,1,1,1,5,5,4,5,5,3,2,3,3,3,2170002,1
4,7,4,1,4,3,2,0,0,1,1,1,5,5,5,5,5,5,5,4,4,3,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,5,3,4,4,2180003,0
,7,4,1,5,3,1,0,0,1,1,1,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,5,4,2190001,0
,6,4,1,5,2,2,0,0,1,1,1,4,4,4,4,5,5,4,4,4,4,3,3,3,5,5,5,5,5,4,4,3,3,3,3,2,3,2,5,5,5,5,5,4,3,3,4,3,2190002,0
,4,3,1,2,2,1,0,0,1,1,1,4,4,4,5,4,2,2,4,4,3,3,3,3,5,5,4,5,5,2,2,4,4,3,3,3,3,3,5,5,4,5,5,4,3,4,4,4,2190003,1
,7,4,1,4,3,2,0,0,1,1,1,4,4,5,5,4,4,4,4,4,4,3,4,4,5,5,5,4,5,5,5,4,4,4,3,4,4,4,5,4,4,5,5,4,4,3,3,4,2220003,0
4,4,4,1,5,4,3,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,3,2,2,4,4,5,2,4,2340001,1
