p__i02001,p__i02003,p__c02003,p__c05049,p__c05050,p__c05051,p__l01001,p__j01001,p__a03024,p__a03026,p__d01001,p__d11001,p__d28001,p__d08001,p__d22001,p__d10001,p__d12001,p__a03032,p__d02001,p__d05001,p__d29001,p__d26058,p__c01002,p__a03002,p__d26007,p__age,p__k02006,p__k02007,p__d14002,p__d14004,p__d14005,p__d14008,p__d14011,p__d25040,p__d25041,p__d25042,p__d25045,p__d25047,p__d25048,p__d25049,p__d25052,p__d25053,p__d25056,p__d25057,p__d25058,p__d25060,p__d25062,p__d25064,p__d25065,p__d25066,p__d25070,p__d25072,p__d25073,p__d25076,p__d25077,p__d25080,p__d25081,p__d25082,p__d25083,p__d25085,p__d23003,p__d23005,p__d23006,p__d23007,p__d23008,p__n01038,p__n01041,p__n01042,p__n01043,p__n01047,p__c01001,p__a03038,p__l01037,p__d26039,p__d26043,pid,is_churned
1.0,1.0,1.0,2,1,1,1,2,2.0,2.0,3.0,2,2.0,1,1,2,2,2.0,1,1,1.0,,5.0,4.0,5.0,6,3.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,1,4,4,4.0,4.0,4.0,4.0,4.0,44.0,38.0,12.0,10.0,30.0,390004,0
1.0,2.0,1.0,2,2,2,1,1,2.0,2.0,10.0,1,2.0,2,1,2,2,2.0,6,1,2.0,,4.0,4.0,1.0,2,3.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3.0,2.0,1.0,1.0,1.0,35.0,3.0,24.0,120.0,120.0,410003,1
1.0,1.0,1.0,2,2,2,1,2,1.0,1.0,4.0,1,2.0,1,1,2,2,2.0,6,2,2.0,6.0,11.0,4.0,5.0,5,2.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,105.0,14.0,60.0,90.0,180.0,420002,1
2.0,1.0,1.0,2,2,1,1,1,1.0,2.0,17.0,1,2.0,1,1,2,2,2.0,6,2,1.0,3.0,4.0,2.0,2.0,4,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,35.0,36.0,24.0,60.0,180.0,440003,0
1.0,1.0,1.0,2,2,1,1,1,2.0,1.0,11.0,1,2.0,1,1,2,2,1.0,13,2,1.0,1.0,3.0,4.0,2.0,4,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4.0,4.0,4.0,4.0,4.0,23.0,48.0,24.0,90.0,180.0,440004,0
1.0,1.0,1.0,2,2,1,1,2,1.0,1.0,11.0,2,2.0,1,1,2,2,1.0,3,1,2.0,4.0,8.0,4.0,6.0,6,3.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5,3,4,3,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,4.0,4.0,3.0,4.0,4.0,75.0,4.0,27.0,60.0,60.0,460001,0
1.0,1.0,1.0,2,2,2,2,1,1.0,1.0,11.0,1,2.0,1,1,2,1,1.0,1,1,2.0,4.0,7.0,4.0,6.0,5,3.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4.0,4.0,4.0,3.0,3.0,60.0,8.0,,60.0,60.0,460002,0
1.0,1.0,1.0,2,1,1,2,1,1.0,1.0,17.0,1,2.0,1,1,2,2,2.0,8,1,2.0,3.0,7.0,4.0,2.0,6,2.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5,5,4,5,5,4,4,5,5,4,4,5,5,4,5,5,4,4,4,3.0,3.0,4.0,4.0,4.0,65.0,14.0,,60.0,120.0,490001,0
1.0,1.0,1.0,2,1,1,1,1,1.0,1.0,24.0,1,1.0,1,1,2,2,2.0,13,1,2.0,3.0,7.0,4.0,2.0,3,3.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5,5,4,4,5,5,4,5,4,4,5,4,4,4,3,4,4,3,4,4.0,3.0,3.0,3.0,3.0,60.0,18.0,31.0,120.0,180.0,490003,0
1.0,1.0,1.0,2,2,2,2,2,1.0,1.0,17.0,1,2.0,1,1,2,2,1.0,14,1,2.0,3.0,8.0,4.0,1.0,7,3.0,3.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,5,4,4,4,4,4,5,4,4,3,3,3,4,3,3,2,4,3,3,3.0,3.0,4.0,3.0,3.0,70.0,3.0,,120.0,240.0,520001,0
