feature,importance
total_watch_time,10.157
avg_progress,10.122
days_since_last_watch,9.385
avg_watch_time,9.12
plan_tier,8.334
age,7.745
age_group,7.148
watch_days,6.524
monthly_spend,6.365
watch_count,5.089
unique_movies,5.051
completion_rate,4.141
avg_rating,4.139
subscription_tenure_days,3.007
download_ratio,2.96
recent_watch_count,0.713
