precision,recall,threshold
0.6271929824561403,1.0,5.399494823996437e-05
0.6275862068965518,1.0,0.00016056412691048302
0.6279799247176914,1.0,0.00028332395507847826
0.6283741368487131,1.0,0.0006198531168389565
0.6287688442211056,1.0,0.0007395437156008547
0.6291640477686989,1.0,0.0008028643817931017
0.6295597484276729,1.0,0.0009183918034287689
0.6299559471365639,1.0,0.0012736093856318216
0.6303526448362721,1.0,0.0012803519258576433
0.6307498424700693,1.0,0.0012839491202794766
0.6305170239596469,0.999000999000999,0.0015968891050862231
0.6309148264984227,0.999000999000999,0.0017152222515203846
0.6313131313131313,0.999000999000999,0.0018308906928362076
0.6317119393556538,0.999000999000999,0.001890224488170138
0.6321112515802781,0.999000999000999,0.0019134643063095107
0.6325110689437066,0.999000999000999,0.0025313448274376657
0.6329113924050633,0.999000999000999,0.002540149753420516
0.6333122229259025,0.999000999000999,0.0032928534234821713
0.6337135614702155,0.999000999000999,0.0034752364430754054
0.6341154090044389,0.999000999000999,0.0034969197836100725
0.6338832487309645,0.998001998001998,0.0037700123604158344
0.6342857142857142,0.998001998001998,0.004414270894314681
0.6346886912325286,0.998001998001998,0.004804952669180058
0.635092180546726,0.998001998001998,0.005589298932266032
0.6354961832061069,0.998001998001998,0.00572546548988043
0.6359007001909611,0.998001998001998,0.005859058475567535
0.6363057324840764,0.998001998001998,0.0058883958405562984
0.6367112810707457,0.998001998001998,0.006064290411873143
0.6371173469387755,0.998001998001998,0.006262274635653879
0.6375239310784939,0.998001998001998,0.006391063493216289
0.6372924648786717,0.997002997002997,0.006943895877764979
0.6376996805111821,0.997002997002997,0.007486143279947757
0.6381074168797954,0.997002997002997,0.007544738712097424
0.6385156749840051,0.997002997002997,0.008217679359642944
0.6389244558258643,0.997002997002997,0.008335783825262583
0.6393337604099936,0.997002997002997,0.009217157150239167
0.6397435897435897,0.997002997002997,0.011027450538411228
0.6401539448364336,0.997002997002997,0.011589410751281743
0.6405648267008985,0.997002997002997,0.012139837352950041
0.6409762363519589,0.997002997002997,0.012262796921715965
0.6413881748071979,0.997002997002997,0.013047972784176782
0.6411575562700965,0.996003996003996,0.013630838533153026
0.6415701415701416,0.996003996003996,0.013769722347872848
0.6419832582099163,0.996003996003996,0.015970496407703292
0.6423969072164949,0.996003996003996,0.016416537772324224
0.6428110896196002,0.996003996003996,0.016628337119242106
0.6432258064516129,0.996003996003996,0.016814883181500397
0.643641058747579,0.996003996003996,0.016980694562995828
0.6440568475452196,0.996003996003996,0.017033426240459063
0.6444731738849386,0.996003996003996,0.017220151341113082
0.6448900388098319,0.996003996003996,0.017665972050409838
0.6453074433656958,0.996003996003996,0.017677312454536697
0.6457253886010362,0.996003996003996,0.01865542383712779
0.6461438755670771,0.996003996003996,0.01897227399141869
0.6465629053177692,0.996003996003996,0.01900034378540123
0.6463335496430889,0.995004995004995,0.01922178285754957
0.6467532467532467,0.995004995004995,0.01927506227116841
0.6471734892787524,0.995004995004995,0.0193453323597561
0.647594278283485,0.995004995004995,0.01943201723132719
0.6480156148340924,0.995004995004995,0.019532040468872424
0.6484375,0.995004995004995,0.019586364758984627
0.6488599348534202,0.995004995004995,0.020624268995522096
0.6486310299869622,0.994005994005994,0.02062964233454738
0.6490541422048272,0.994005994005994,0.020692834508042508
0.6494778067885117,0.994005994005994,0.020820897304438653
0.6499020248203788,0.994005994005994,0.02091502678934296
0.6503267973856209,0.994005994005994,0.02099484944796369
0.6507521255722695,0.994005994005994,0.021619589789136404
0.6511780104712042,0.994005994005994,0.021642333653299203
0.6516044531761624,0.994005994005994,0.02165617166622415
0.6520314547837484,0.994005994005994,0.021771270423128854
0.6524590163934426,0.994005994005994,0.022040785219331508
0.6528871391076115,0.994005994005994,0.0223115864532949
0.6533158240315168,0.994005994005994,0.023068941608341675
0.6537450722733246,0.994005994005994,0.02334809499810021
0.6541748849441157,0.994005994005994,0.02349106833994948
0.6539473684210526,0.993006993006993,0.02351528048349496
0.6537195523370638,0.9920079920079921,0.02356957007409735
0.6541501976284585,0.9920079920079921,0.0237398780826997
0.6545814106789717,0.9920079920079921,0.024353286345194236
0.6543535620052771,0.991008991008991,0.024681632464792495
0.6547854785478547,0.991008991008991,0.025226315187786712
0.655217965653897,0.991008991008991,0.02552827171526449
0.6556510244547257,0.991008991008991,0.025708974879038574
0.656084656084656,0.991008991008991,0.025723372407747254
0.6565188616810059,0.991008991008991,0.025993632271169957
0.6569536423841059,0.991008991008991,0.02634028253659741
0.6573889993373094,0.991008991008991,0.0264599838519543
0.6571618037135278,0.99000999000999,0.027385150789639417
0.6575978765759788,0.99000999000999,0.02754412018121127
0.6580345285524568,0.99000999000999,0.027641917464398476
0.6584717607973422,0.99000999000999,0.027703658297416042
0.6589095744680851,0.99000999000999,0.02786019889371489
0.6593479707252162,0.99000999000999,0.027959926291153913
0.6597869507323568,0.99000999000999,0.02810615596181223
0.6602265156562291,0.99000999000999,0.028134306498302685
0.6606666666666666,0.99000999000999,0.028302167415874654
0.6611074049366245,0.99000999000999,0.03106988613636115
0.6615487316421896,0.99000999000999,0.0316722141643675
0.6619906479625919,0.99000999000999,0.03188848101686715
0.6624331550802139,0.99000999000999,0.032254698215112905
0.662876254180602,0.99000999000999,0.03248508217218464
0.6633199464524766,0.99000999000999,0.03313885788391405
0.6630944407233758,0.989010989010989,0.033308608060190224
0.6635388739946381,0.989010989010989,0.033383167146509025
0.6639839034205232,0.989010989010989,0.0353277031785978
0.6644295302013423,0.989010989010989,0.03550188264481405
0.6648757555406313,0.989010989010989,0.03552534563253986
0.6653225806451613,0.989010989010989,0.03584391832813417
0.6657700067249496,0.989010989010989,0.036106309278710697
0.6662180349932705,0.989010989010989,0.0362151284910303
0.6666666666666666,0.989010989010989,0.036922861113803364
0.6671159029649596,0.989010989010989,0.03770668481920049
0.667565745111261,0.989010989010989,0.03795769538231782
0.6680161943319838,0.989010989010989,0.038009581300237086
0.6684672518568535,0.989010989010989,0.03813384715699852
0.6682432432432432,0.988011988011988,0.03868445480479239
0.6686950642325896,0.988011988011988,0.0388812551778921
0.6691474966170501,0.988011988011988,0.03960185941415655
0.6696005416384563,0.988011988011988,0.0400359200808801
0.6700542005420054,0.988011988011988,0.04076983165143456
0.6705084745762712,0.988011988011988,0.04096665046431462
0.6709633649932157,0.988011988011988,0.04133178396267027
0.6714188730482009,0.988011988011988,0.04165990446070907
0.671875,0.988011988011988,0.04257884907348107
0.672331747110809,0.988011988011988,0.04258309951026416
0.6727891156462585,0.988011988011988,0.042777003334305445
0.6732471068754254,0.988011988011988,0.043473228161781015
0.6737057220708447,0.988011988011988,0.04360917499055038
0.6734832992501704,0.987012987012987,0.04424765923287662
0.6739427012278308,0.987012987012987,0.04458435006726477
0.6744027303754266,0.987012987012987,0.044903932267725176
0.674863387978142,0.987012987012987,0.04520820104574866
0.6753246753246753,0.987012987012987,0.04536543411116125
0.6757865937072504,0.987012987012987,0.04584011419960302
0.676249144421629,0.987012987012987,0.04587743067010922
0.6767123287671233,0.987012987012987,0.04632992738857445
0.6764907470870459,0.986013986013986,0.04665878752358836
0.676954732510288,0.986013986013986,0.04690323084618491
0.6774193548387096,0.986013986013986,0.047777287482919414
0.6778846153846154,0.986013986013986,0.04806478474995237
0.6783505154639176,0.986013986013986,0.04816221361222772
0.6788170563961485,0.986013986013986,0.04833476389109557
0.6792842395044735,0.986013986013986,0.04835797839824519
0.6797520661157025,0.986013986013986,0.048371330117008046
0.6802205375603032,0.986013986013986,0.05156893409274531
0.6806896551724138,0.986013986013986,0.05274408735837326
0.6811594202898551,0.986013986013986,0.05309986212242051
0.6816298342541437,0.986013986013986,0.05341359348752101
0.6814098134070491,0.985014985014985,0.05366115464727875
0.681881051175657,0.985014985014985,0.054136462210314
0.6823529411764706,0.985014985014985,0.054432259250742215
0.682825484764543,0.985014985014985,0.055514113071302905
0.6832986832986833,0.985014985014985,0.056367651127754576
0.6837725381414702,0.985014985014985,0.056477446210301194
0.6842470506592644,0.985014985014985,0.05675916366268108
0.6847222222222222,0.985014985014985,0.058176403659096036
0.6851980542043086,0.985014985014985,0.05840620822291397
0.6856745479833102,0.985014985014985,0.058495198349000646
0.686151704940849,0.985014985014985,0.05867411593108734
0.6866295264623955,0.985014985014985,0.05973541282327826
0.6871080139372823,0.985014985014985,0.0612881634132218
0.6875871687587168,0.985014985014985,0.061385521302048704
0.6880669923237962,0.985014985014985,0.06156288360655468
0.6885474860335196,0.985014985014985,0.06189879980497969
0.6890286512928022,0.985014985014985,0.06318297702611661
0.6895104895104895,0.985014985014985,0.06324203720110888
0.689293212036389,0.984015984015984,0.06324617050424967
0.6897759103641457,0.984015984015984,0.06325320536998125
0.6902592852137351,0.984015984015984,0.06347859849596812
0.6907433380084151,0.984015984015984,0.06581020307648217
0.6912280701754386,0.984015984015984,0.06668935181327401
0.6917134831460674,0.984015984015984,0.0667199928290232
0.6921995783555868,0.984015984015984,0.06743183821962785
0.6926863572433193,0.984015984015984,0.06776817560752277
0.6931738212526389,0.984015984015984,0.06782956283605127
0.6936619718309859,0.984015984015984,0.06801109408121803
0.6941508104298802,0.984015984015984,0.06914793152515696
0.6946403385049366,0.984015984015984,0.0706486990827106
0.6951305575158786,0.984015984015984,0.07082158313500816
0.6949152542372882,0.983016983016983,0.07121455561515615
0.6954063604240283,0.983016983016983,0.07247118539214789
0.695898161244696,0.983016983016983,0.07311180766069793
0.6963906581740976,0.983016983016983,0.07314470478441926
0.6968838526912181,0.983016983016983,0.07419754066571849
0.6966690290574061,0.9820179820179821,0.07451340277240906
0.6971631205673758,0.9820179820179821,0.07466969568767605
0.6976579134137686,0.9820179820179821,0.0748310253835286
0.6981534090909091,0.9820179820179821,0.07547031554061244
0.6986496090973703,0.9820179820179821,0.07738637680182535
0.6991465149359887,0.9820179820179821,0.07824144976545745
0.699644128113879,0.9820179820179821,0.0787524929381726
0.7001424501424501,0.9820179820179821,0.07885946017383076
0.7006414825374199,0.9820179820179821,0.07897619280586461
0.7011412268188303,0.9820179820179821,0.07904683153849212
