feature,importance
age_group,21.43
total_watch_time,15.033
watch_days,11.369
plan_tier,7.895
age,6.79
avg_progress,5.418
watch_count,4.272
days_since_last_watch,3.968
completion_rate,3.376
avg_rating,3.292
monthly_spend,3.286
avg_watch_time,3.086
unique_movies,3.044
download_ratio,2.685
recent_watch_count,2.549
subscription_tenure_days,2.507
